SetID	P.value	N.Marker.All	N.Marker.Test	MAC	m	Method.bin	MAP	cases_cMAC	cases_cMAF	controls_cMAC	controls_cMAF	no_of_carriers	enrichment_ratio	P_regression	OR_noOfMutations	OR_L95	OR_U95	eff_estimate	eff_stdErr	chr	start	end	gene_type	strand	additional_info1	additional_info2	exome_wide_check
Gene176	0.0206382179697955	10	8	30	13	ER.A	-1	26	0.008844	4	0.001307	13	6.767	0.0487206848175226	2.119	1.004	4.47	0.751	0.381	1	263000	264000	non_coding	-	info176	info176	NA
Gene1264	0.021126674323241	10	9	33	24	ER.A	-1	24	0.008163	9	0.002941	24	2.776	0.0569672579852868	1.918	0.981	3.749	0.651	0.342	1	1895000	1896000	non_coding	-	info1264	info1264	NA
Gene80	0.0215981733135048	10	10	32	23	ER.A	-1	23	0.007823	9	0.002941	23	2.66	0.0378313854940173	2.052	1.041	4.044	0.719	0.346	1	119000	120000	non_coding	-	info80	info80	NA
Gene1073	0.0218344106383961	10	10	44	22	MA	-1	34	0.011565	10	0.003268	22	3.539	0.0365961288014296	1.75	1.036	2.959	0.56	0.268	1	1608500	1609500	protein_coding	+	info1073	info1073	NA
Gene450	0.0226265205482512	10	6	17	13	ER	2.11277906623752e-05	2	0.00068	15	0.004902	13	0.139	0.0463212731600001	0.221	0.05	0.976	-1.51	0.758	1	674000	675000	non_coding	-	info450	info450	NA
Gene1	0.0226593013315097	10	10	24	20	ER.A	-1	5	0.001701	19	0.006209	20	0.274	0.0260652416588154	0.338	0.13	0.879	-1.084	0.487	1	500	1500	protein_coding	+	info1	info1	NA
Gene1196	0.022916641622987	10	9	26	22	ER.A	-1	20	0.006803	6	0.001961	22	3.469	0.0183704524274238	2.842	1.193	6.77	1.044	0.443	1	1793000	1794000	non_coding	-	info1196	info1196	NA
Gene1074	0.0241991004733625	10	10	30	17	ER.A	-1	24	0.008163	6	0.001961	17	4.163	0.0249559229460342	2.212	1.105	4.43	0.794	0.354	1	1610000	1611000	non_coding	-	info1074	info1074	NA
Gene1209	0.0245873497954014	10	9	36	13	ER.A	-1	31	0.010544	5	0.001634	13	6.453	0.154790087938872	1.553	0.847	2.847	0.44	0.309	1	1812500	1813500	protein_coding	+	info1209	info1209	NA
Gene882	0.0256442356450857	10	8	26	20	ER.A	-1	19	0.006463	7	0.002288	20	2.825	0.0657866413209951	2.053	0.954	4.416	0.719	0.391	1	1322000	1323000	non_coding	-	info882	info882	NA
Gene95	0.0280148310108416	10	9	31	20	ER.A	-1	7	0.002381	24	0.007843	20	0.304	0.095281748180371	0.546	0.268	1.112	-0.605	0.363	1	141500	142500	protein_coding	+	info95	info95	NA
Gene203	0.0280357864157953	10	10	31	15	ER.A	-1	5	0.001701	26	0.008497	15	0.2	0.0669534343269421	0.535	0.274	1.045	-0.625	0.341	1	303500	304500	protein_coding	+	info203	info203	NA
Gene992	0.0291833260857311	10	5	16	8	ER	0.00150447845547173	1	0.00034	15	0.004902	8	0.069	0.099731878062824	0.235	0.042	1.318	-1.448	0.88	1	1487000	1488000	non_coding	-	info992	info992	NA
Gene1120	0.0309581623452279	10	6	18	16	ER	4.04322544391631e-06	4	0.001361	14	0.004575	16	0.297	0.0375886490652096	0.31	0.102	0.935	-1.173	0.564	1	1679000	1680000	non_coding	-	info1120	info1120	NA
Gene733	0.0311298415067949	10	8	26	22	ER.A	-1	6	0.002041	20	0.006536	22	0.312	0.0255025957696726	0.368	0.153	0.885	-0.999	0.447	1	1098500	1099500	protein_coding	+	info733	info733	NA
Gene1172	0.0317604899624255	10	9	33	19	ER.A	-1	25	0.008503	8	0.002614	19	3.253	0.0307258485149527	1.961	1.065	3.612	0.673	0.312	1	1757000	1758000	non_coding	-	info1172	info1172	NA
Gene272	0.0317740252036225	10	9	28	17	ER.A	-1	5	0.001701	23	0.007516	17	0.226	0.0385173308108607	0.433	0.196	0.957	-0.836	0.404	1	407000	408000	non_coding	-	info272	info272	NA
Gene918	0.0319741008663915	10	9	30	17	ER.A	-1	24	0.008163	6	0.001961	17	4.163	0.0355825100704286	2.097	1.051	4.182	0.74	0.352	1	1376000	1377000	non_coding	-	info918	info918	NA
Gene605	0.0320375091873264	10	9	27	17	ER.A	-1	22	0.007483	5	0.001634	17	4.58	0.0584814335953647	2.312	0.97	5.51	0.838	0.443	1	906500	907500	protein_coding	+	info605	info605	NA
Gene587	0.0325888290663352	10	10	49	25	MA	-1	11	0.003741	38	0.012418	25	0.301	0.0687493358157927	0.651	0.411	1.033	-0.429	0.236	1	879500	880500	protein_coding	+	info587	info587	NA
Gene324	0.0341123194799371	10	9	32	11	ER.A	-1	28	0.009524	4	0.001307	11	7.287	0.0609732355072898	1.886	0.971	3.662	0.634	0.339	1	485000	486000	non_coding	-	info324	info324	NA
Gene189	0.0344971727992046	10	10	25	13	ER.A	-1	20	0.006803	5	0.001634	13	4.163	0.051982467101814	2.038	0.994	4.179	0.712	0.366	1	282500	283500	protein_coding	+	info189	info189	NA
Gene1248	0.0347039857097491	10	10	26	11	ER.A	-1	23	0.007823	3	0.00098	11	7.983	0.105095567328999	2.177	0.85	5.578	0.778	0.48	1	1871000	1872000	non_coding	-	info1248	info1248	NA
Gene1109	0.0352538484114327	10	9	39	24	ER.A	-1	27	0.009184	12	0.003922	24	2.342	0.144594321549921	1.446	0.881	2.373	0.369	0.253	1	1662500	1663500	protein_coding	+	info1109	info1109	NA
Gene725	0.0362873200670434	10	8	19	17	ER	1.20224759485617e-06	4	0.001361	15	0.004902	17	0.278	0.0378877540063483	0.316	0.106	0.938	-1.152	0.555	1	1086500	1087500	protein_coding	+	info725	info725	NA
Gene728	0.0366635970150429	10	10	21	8	ER.A	-1	2	0.00068	19	0.006209	8	0.11	0.0728674375409442	0.404	0.15	1.088	-0.907	0.506	1	1091000	1092000	non_coding	-	info728	info728	NA
Gene644	0.0369438532464403	10	10	35	20	ER.A	-1	22	0.007483	13	0.004248	20	1.762	0.430961099084976	1.171	0.791	1.735	0.158	0.2	1	965000	966000	non_coding	-	info644	info644	NA
Gene369	0.0373246837621107	10	10	47	23	MA	-1	32	0.010884	15	0.004902	23	2.22	0.102918546180274	1.42	0.932	2.165	0.351	0.215	1	552500	553500	protein_coding	+	info369	info369	NA
Gene48	0.0388779677828381	10	10	39	19	ER.A	-1	8	0.002721	31	0.010131	19	0.269	0.0342527788959956	0.554	0.321	0.957	-0.59	0.279	1	71000	72000	non_coding	-	info48	info48	NA
Gene159	0.0390462338912865	10	6	19	14	ER	1.46556079747797e-05	5	0.001701	14	0.004575	14	0.372	0.113776083742089	0.494	0.206	1.184	-0.706	0.446	1	237500	238500	protein_coding	+	info159	info159	NA
Gene645	0.0393011586075171	10	5	21	12	ER.A	-1	3	0.00102	18	0.005882	12	0.173	0.0696933491675016	0.394	0.144	1.078	-0.931	0.513	1	966500	967500	protein_coding	+	info645	info645	NA
Gene862	0.0395128996763138	10	9	25	17	ER.A	-1	4	0.001361	21	0.006863	17	0.198	0.0429918967854142	0.327	0.111	0.965	-1.119	0.553	1	1292000	1293000	non_coding	-	info862	info862	NA
Gene994	0.0396253652420034	10	9	32	15	ER.A	-1	12	0.004082	20	0.006536	15	0.625	0.356498918861888	0.796	0.489	1.294	-0.229	0.248	1	1490000	1491000	non_coding	-	info994	info994	NA
Gene575	0.0400365119778939	10	9	43	26	MA	-1	30	0.010204	13	0.004248	26	2.402	0.0395433300122221	1.697	1.026	2.808	0.529	0.257	1	861500	862500	protein_coding	+	info575	info575	NA
Gene1289	0.0406677006273264	10	10	43	16	MA	-1	34	0.011565	9	0.002941	16	3.932	0.0770266149195952	1.512	0.956	2.391	0.413	0.234	1	1932500	1933500	protein_coding	+	info1289	info1289	NA
Gene1100	0.0414792977172799	10	8	36	27	ER.A	-1	10	0.003401	26	0.008497	27	0.4	0.0341623697746929	0.495	0.258	0.949	-0.703	0.332	1	1649000	1650000	non_coding	-	info1100	info1100	NA
Gene623	0.0418835577804942	10	10	41	10	MA	-1	8	0.002721	33	0.010784	10	0.252	0.103345444802988	0.737	0.51	1.064	-0.306	0.188	1	933500	934500	protein_coding	+	info623	info623	NA
Gene1271	0.0422167992862593	10	7	30	19	ER.A	-1	8	0.002721	22	0.00719	19	0.378	0.110628158604827	0.602	0.322	1.123	-0.508	0.319	1	1905500	1906500	protein_coding	+	info1271	info1271	NA
Gene610	0.0423144163773446	10	9	23	20	ER.A	-1	15	0.005102	8	0.002614	20	1.952	0.206095212586574	1.689	0.75	3.803	0.524	0.414	1	914000	915000	non_coding	-	info610	info610	NA
Gene990	0.0431098413491732	10	10	44	25	MA	-1	31	0.010544	13	0.004248	25	2.482	0.0347504669348501	1.707	1.039	2.805	0.535	0.253	1	1484000	1485000	non_coding	-	info990	info990	NA
Gene900	0.0469256395029603	10	8	27	23	ER.A	-1	18	0.006122	9	0.002941	23	2.082	0.115716817443387	1.85	0.86	3.981	0.615	0.391	1	1349000	1350000	non_coding	-	info900	info900	NA
Gene799	0.0479935285336432	10	9	33	15	ER.A	-1	26	0.008844	7	0.002288	15	3.865	0.0820260644971175	1.603	0.942	2.727	0.472	0.271	1	1197500	1198500	protein_coding	+	info799	info799	NA
Gene1290	0.0492248073754293	10	7	33	21	ER.A	-1	12	0.004082	21	0.006863	21	0.595	0.342340727901975	0.768	0.445	1.325	-0.264	0.278	1	1934000	1935000	non_coding	-	info1290	info1290	NA
Gene130	0.0492520152425947	10	8	32	26	ER.A	-1	22	0.007483	10	0.003268	26	2.29	0.0446736369302775	2.019	1.017	4.009	0.703	0.35	1	194000	195000	non_coding	-	info130	info130	NA
Gene143	0.0502230157902703	10	10	49	19	MA	-1	12	0.004082	37	0.012092	19	0.338	0.0470696556072194	0.662	0.44	0.995	-0.413	0.208	1	213500	214500	protein_coding	+	info143	info143	NA
Gene195	0.0503369145547192	10	7	26	23	ER.A	-1	9	0.003061	17	0.005556	23	0.551	0.198748280647245	0.6	0.275	1.308	-0.511	0.398	1	291500	292500	protein_coding	+	info195	info195	NA
Gene163	0.0524114113333656	10	6	17	14	ER	1.90845045694462e-05	4	0.001361	13	0.004248	14	0.32	0.0751936252656203	0.385	0.135	1.102	-0.954	0.536	1	243500	244500	protein_coding	+	info163	info163	NA
Gene629	0.0532627527208445	10	10	41	27	MA	-1	12	0.004082	29	0.009477	27	0.431	0.0460114819325327	0.571	0.329	0.99	-0.561	0.281	1	942500	943500	protein_coding	+	info629	info629	NA
Gene687	0.0532826370017783	10	6	23	17	ER.A	-1	18	0.006122	5	0.001634	17	3.747	0.0363803135923466	2.566	1.062	6.204	0.942	0.45	1	1029500	1030500	protein_coding	+	info687	info687	NA
Gene494	0.0533817735240359	10	6	22	17	ER.A	-1	15	0.005102	7	0.002288	17	2.23	0.106377209842961	1.925	0.869	4.265	0.655	0.406	1	740000	741000	non_coding	-	info494	info494	NA
Gene94	0.0550128886113224	10	9	24	13	ER.A	-1	9	0.003061	15	0.004902	13	0.624	0.458196705727965	0.807	0.457	1.423	-0.215	0.29	1	140000	141000	non_coding	-	info94	info94	NA
Gene78	0.055713847752543	10	10	24	18	ER.A	-1	10	0.003401	14	0.004575	18	0.743	0.617090607290377	0.847	0.442	1.624	-0.166	0.332	1	116000	117000	non_coding	-	info78	info78	NA
Gene1106	0.0558839691178603	10	10	41	32	MA	-1	28	0.009524	13	0.004248	32	2.242	0.0469692626381956	1.835	1.008	3.341	0.607	0.306	1	1658000	1659000	non_coding	-	info1106	info1106	NA
Gene500	0.0565002858398091	10	6	24	16	ER.A	-1	5	0.001701	19	0.006209	16	0.274	0.0634685371198324	0.453	0.197	1.045	-0.791	0.426	1	749000	750000	non_coding	-	info500	info500	NA
Gene1280	0.0567912503629509	10	8	20	13	ER	3.67906270954228e-05	9	0.003061	11	0.003595	13	0.851	0.773661041703319	0.903	0.451	1.809	-0.102	0.355	1	1919000	1920000	non_coding	-	info1280	info1280	NA
Gene228	0.057287442206849	10	10	40	23	ER.A	-1	10	0.003401	30	0.009804	23	0.347	0.0471158850915549	0.573	0.331	0.993	-0.557	0.281	1	341000	342000	non_coding	-	info228	info228	NA
Gene688	0.0577764589554203	10	6	21	14	ER.A	-1	11	0.003741	10	0.003268	14	1.145	0.756450369925614	1.114	0.562	2.21	0.108	0.349	1	1031000	1032000	non_coding	-	info688	info688	NA
Gene308	0.0586116339056853	10	7	32	20	ER.A	-1	7	0.002381	25	0.00817	20	0.291	0.0690485463522944	0.518	0.255	1.053	-0.657	0.361	1	461000	462000	non_coding	-	info308	info308	NA
Gene477	0.0590719453756925	10	10	48	28	MA	-1	33	0.011224	15	0.004902	28	2.29	0.0444240456771378	1.635	1.012	2.642	0.492	0.245	1	714500	715500	protein_coding	+	info477	info477	NA
Gene1285	0.0593561065125621	10	6	25	19	ER.A	-1	6	0.002041	19	0.006209	19	0.329	0.0589004786432916	0.452	0.198	1.03	-0.794	0.42	1	1926500	1927500	protein_coding	+	info1285	info1285	NA
Gene723	0.0594059757757677	10	7	27	20	ER.A	-1	6	0.002041	21	0.006863	20	0.297	0.0440153284850687	0.441	0.199	0.978	-0.818	0.406	1	1083500	1084500	protein_coding	+	info723	info723	NA
Gene602	0.0602783919418128	10	8	38	31	ER.A	-1	11	0.003741	27	0.008824	31	0.424	0.0414992942938021	0.505	0.262	0.974	-0.683	0.335	1	902000	903000	non_coding	-	info602	info602	NA
Gene608	0.0624385598311796	10	10	31	17	ER.A	-1	6	0.002041	25	0.00817	17	0.25	0.0617946217678325	0.512	0.254	1.034	-0.669	0.358	1	911000	912000	non_coding	-	info608	info608	NA
Gene907	0.0644829699284704	10	8	31	18	ER.A	-1	7	0.002381	24	0.007843	18	0.304	0.06062175020912	0.539	0.282	1.028	-0.618	0.33	1	1359500	1360500	protein_coding	+	info907	info907	NA
Gene116	0.0649304444577857	10	7	31	22	ER.A	-1	22	0.007483	9	0.002941	22	2.544	0.0464879888068256	1.956	1.01	3.787	0.671	0.337	1	173000	174000	non_coding	-	info116	info116	NA
Gene138	0.0653887699985599	10	10	30	18	ER.A	-1	22	0.007483	8	0.002614	18	2.863	0.0446635001985508	1.91	1.016	3.593	0.647	0.322	1	206000	207000	non_coding	-	info138	info138	NA
Gene700	0.0656527390297208	10	8	24	19	ER.A	-1	9	0.003061	15	0.004902	19	0.624	0.42470148827225	0.75	0.37	1.519	-0.287	0.36	1	1049000	1050000	non_coding	-	info700	info700	NA
Gene1094	0.0663889917042337	10	9	27	16	ER.A	-1	6	0.002041	21	0.006863	16	0.297	0.0454199893990837	0.485	0.239	0.985	-0.723	0.361	1	1640000	1641000	non_coding	-	info1094	info1094	NA
Gene622	0.0685603094217633	10	7	26	25	ER.A	-1	12	0.004082	14	0.004575	25	0.892	0.814126644706489	0.911	0.417	1.987	-0.094	0.398	1	932000	933000	non_coding	-	info622	info622	NA
Gene256	0.0700110472087785	10	10	33	22	ER.A	-1	13	0.004422	20	0.006536	22	0.677	0.444757862978086	0.808	0.467	1.396	-0.213	0.279	1	383000	384000	non_coding	-	info256	info256	NA
Gene323	0.071068556929278	10	9	30	30	ER.A	-1	15	0.005102	15	0.004902	30	1.041	0.963970172969586	1.018	0.476	2.175	0.018	0.387	1	483500	484500	protein_coding	+	info323	info323	NA
Gene171	0.0714154926070535	10	3	8	8	ER	0.00122728551227073	6	0.002041	2	0.000654	8	3.121	0.201074870297259	2.901	0.567	14.841	1.065	0.833	1	255500	256500	protein_coding	+	info171	info171	NA
Gene702	0.0726438678944532	10	5	29	23	ER.A	-1	20	0.006803	9	0.002941	23	2.313	0.0568274116833687	1.98	0.98	3.997	0.683	0.359	1	1052000	1053000	non_coding	-	info702	info702	NA
Gene946	0.0735200087158007	10	10	47	35	MA	-1	15	0.005102	32	0.010458	35	0.488	0.0539349455934797	0.591	0.346	1.009	-0.526	0.273	1	1418000	1419000	non_coding	-	info946	info946	NA
Gene1227	0.0737686067635048	10	10	21	14	ER.A	-1	5	0.001701	16	0.005229	14	0.325	0.0942288130457963	0.494	0.216	1.128	-0.706	0.422	1	1839500	1840500	protein_coding	+	info1227	info1227	NA
Gene985	0.0741116248423277	10	8	16	11	ER	0.000187292178876093	3	0.00102	13	0.004248	11	0.24	0.0789190487077269	0.379	0.128	1.119	-0.971	0.553	1	1476500	1477500	protein_coding	+	info985	info985	NA
Gene665	0.0742433149566337	10	9	30	24	ER.A	-1	21	0.007143	9	0.002941	24	2.429	0.0524157609032107	2.025	0.993	4.132	0.706	0.364	1	996500	997500	protein_coding	+	info665	info665	NA
Gene917	0.0771841905572005	10	10	24	11	ER.A	-1	17	0.005782	7	0.002288	11	2.527	0.252755911604885	1.398	0.787	2.482	0.335	0.293	1	1374500	1375500	protein_coding	+	info917	info917	NA
Gene697	0.077642836675975	10	10	41	21	MA	-1	13	0.004422	28	0.00915	21	0.483	0.243349430449805	0.785	0.522	1.179	-0.242	0.208	1	1044500	1045500	protein_coding	+	info697	info697	NA
Gene267	0.0780158751557445	10	5	24	17	ER.A	-1	6	0.002041	18	0.005882	17	0.347	0.0945996440462027	0.509	0.23	1.124	-0.676	0.404	1	399500	400500	protein_coding	+	info267	info267	NA
Gene657	0.0781684010342046	10	9	21	16	ER.A	-1	9	0.003061	12	0.003922	16	0.78	0.522643120269947	0.792	0.387	1.619	-0.233	0.365	1	984500	985500	protein_coding	+	info657	info657	NA
Gene103	0.079270982546649	10	5	14	13	ER	4.2005457539633e-05	11	0.003741	3	0.00098	13	3.817	0.0585394025544291	3.448	0.956	12.431	1.238	0.654	1	153500	154500	protein_coding	+	info103	info103	NA
Gene290	0.0798155172650641	10	10	33	23	ER.A	-1	25	0.008503	8	0.002614	23	3.253	0.0535362032669752	2.02	0.989	4.126	0.703	0.364	1	434000	435000	non_coding	-	info290	info290	NA
Gene1143	0.0805039758129714	10	6	30	18	ER.A	-1	17	0.005782	13	0.004248	18	1.361	0.456652754051824	1.231	0.712	2.131	0.208	0.28	1	1713500	1714500	protein_coding	+	info1143	info1143	NA
Gene145	0.0809459120909629	10	8	29	15	ER.A	-1	16	0.005442	13	0.004248	15	1.281	0.714778734631782	1.095	0.673	1.783	0.091	0.249	1	216500	217500	protein_coding	+	info145	info145	NA
Gene388	0.0819293474665587	10	8	27	19	ER.A	-1	18	0.006122	9	0.002941	19	2.082	0.162482340473765	1.605	0.826	3.116	0.473	0.339	1	581000	582000	non_coding	-	info388	info388	NA
Gene1026	0.0836053056187266	10	9	26	24	ER.A	-1	10	0.003401	16	0.005229	24	0.65	0.29167700429388	0.659	0.304	1.43	-0.416	0.395	1	1538000	1539000	non_coding	-	info1026	info1026	NA
Gene844	0.0845509605854361	10	10	26	18	ER.A	-1	10	0.003401	16	0.005229	18	0.65	0.394663920763217	0.767	0.416	1.413	-0.266	0.312	1	1265000	1266000	non_coding	-	info844	info844	NA
Gene1140	0.0847991720774079	10	10	33	10	ER.A	-1	21	0.007143	12	0.003922	10	1.821	0.4551249031605	1.146	0.802	1.638	0.136	0.182	1	1709000	1710000	non_coding	-	info1140	info1140	NA
Gene513	0.0852247342668292	10	8	26	16	ER.A	-1	7	0.002381	19	0.006209	16	0.383	0.100065268528338	0.563	0.284	1.116	-0.574	0.349	1	768500	769500	protein_coding	+	info513	info513	NA
Gene463	0.0853339400136838	10	8	25	18	ER.A	-1	6	0.002041	19	0.006209	18	0.329	0.0577846543813661	0.464	0.21	1.026	-0.768	0.405	1	693500	694500	protein_coding	+	info463	info463	NA
Gene722	0.0853999542961481	10	10	38	26	ER.A	-1	11	0.003741	27	0.008824	26	0.424	0.0487162576811298	0.551	0.305	0.997	-0.596	0.302	1	1082000	1083000	non_coding	-	info722	info722	NA
Gene1299	0.0861449908185272	10	5	7	4	ER	0.0232741166898347	7	0.002381	0	0	4	Inf	0.985250678434672	1391107.827	0	Inf	14.146	765.182	1	1947500	1948500	protein_coding	+	info1299	info1299	NA
Gene343	0.0876720086603113	10	9	23	15	ER.A	-1	18	0.006122	5	0.001634	15	3.747	0.0597123729169983	2.204	0.968	5.016	0.79	0.42	1	513500	514500	protein_coding	+	info343	info343	NA
Gene1308	0.0888424304567561	10	10	43	15	MA	-1	31	0.010544	12	0.003922	15	2.688	0.156438183436782	1.272	0.912	1.774	0.241	0.17	1	1961000	1962000	non_coding	-	info1308	info1308	NA
Gene1097	0.0892366617634161	10	9	31	22	ER.A	-1	11	0.003741	20	0.006536	22	0.572	0.176899087906327	0.659	0.36	1.207	-0.417	0.309	1	1644500	1645500	protein_coding	+	info1097	info1097	NA
Gene1008	0.0911446877872757	10	10	44	36	MA	-1	22	0.007483	22	0.00719	36	1.041	0.859310395496786	1.05	0.61	1.809	0.049	0.277	1	1511000	1512000	non_coding	-	info1008	info1008	NA
Gene904	0.0915827684953662	10	7	10	4	ER	0.0312160746221922	10	0.003401	0	0	4	Inf	0.980623981884183	1053642.975	0	Inf	13.868	571.004	1	1355000	1356000	non_coding	-	info904	info904	NA
Gene283	0.0951220058972095	10	6	23	22	ER.A	-1	16	0.005442	7	0.002288	22	2.378	0.0483987945326045	2.474	1.006	6.084	0.906	0.459	1	423500	424500	protein_coding	+	info283	info283	NA
Gene422	0.0958347693289474	10	10	38	21	ER.A	-1	27	0.009184	11	0.003595	21	2.555	0.0680224878049916	1.609	0.965	2.68	0.475	0.26	1	632000	633000	non_coding	-	info422	info422	NA
Gene572	0.0972198711140202	10	7	25	14	ER.A	-1	19	0.006463	6	0.001961	14	3.296	0.0691840263803978	1.892	0.951	3.765	0.638	0.351	1	857000	858000	non_coding	-	info572	info572	NA
Gene632	0.0975986856908691	10	10	27	14	ER.A	-1	15	0.005102	12	0.003922	14	1.301	0.723019709291561	1.101	0.647	1.873	0.096	0.271	1	947000	948000	non_coding	-	info632	info632	NA
Gene877	0.0988360995236294	10	10	45	20	MA	-1	32	0.010884	13	0.004248	20	2.562	0.0805393508394861	1.458	0.955	2.225	0.377	0.216	1	1314500	1315500	protein_coding	+	info877	info877	NA
Gene852	0.0993449368508373	10	10	37	31	ER.A	-1	19	0.006463	18	0.005882	31	1.099	0.798467361437236	1.079	0.603	1.931	0.076	0.297	1	1277000	1278000	non_coding	-	info852	info852	NA
Gene599	0.0996008827340562	10	8	27	17	ER.A	-1	19	0.006463	8	0.002614	17	2.472	0.159427756786626	1.595	0.832	3.057	0.467	0.332	1	897500	898500	protein_coding	+	info599	info599	NA
